GEOID,NAME,B19013_001E,B19013_001M,B01003_001E,B01003_001M,NUMPOINTS,inc_rate
"360290111001","Block Group 1, Census Tract 111, Erie County, New York",56389,4723,1500,296,2,"133"
"360290134001","Block Group 1, Census Tract 134, Erie County, New York",107679,27429,414,134,0,"0"
"360290120012","Block Group 2, Census Tract 120.01, Erie County, New York",73295,26315,2508,657,0,"0"
"360290151022","Block Group 2, Census Tract 151.02, Erie County, New York",59750,31511,1033,248,0,"0"
"360290091073","Block Group 3, Census Tract 91.07, Erie County, New York",62526,38009,1638,425,2,"122"
"360290146052","Block Group 2, Census Tract 146.05, Erie County, New York",83000,46232,841,273,0,"0"
"360290163003","Block Group 3, Census Tract 163, Erie County, New York",24615,9912,913,315,39,"4272"
"360290063012","Block Group 2, Census Tract 63.01, Erie County, New York",,,885,317,6,"678"
"360290113003","Block Group 3, Census Tract 113, Erie County, New York",37981,34502,452,202,3,"664"
"360290101013","Block Group 3, Census Tract 101.01, Erie County, New York",76053,23720,1227,309,1,"81"
"360290137012","Block Group 2, Census Tract 137.01, Erie County, New York",54830,43190,1955,458,0,"0"
"360290041002","Block Group 2, Census Tract 41, Erie County, New York",48967,20703,902,246,42,"4656"
"360290077002","Block Group 2, Census Tract 77, Erie County, New York",,,927,337,1,"108"
"360290029001","Block Group 1, Census Tract 29, Erie County, New York",20237,15701,516,227,83,"16085"
"360290035021","Block Group 1, Census Tract 35.02, Erie County, New York",28810,15904,425,190,31,"7294"
"360290100031","Block Group 1, Census Tract 100.03, Erie County, New York",50461,12939,1527,262,2,"131"
"360290137011","Block Group 1, Census Tract 137.01, Erie County, New York",56384,10338,1277,371,0,"0"
"360290142041","Block Group 1, Census Tract 142.04, Erie County, New York",88627,14557,1165,252,0,"0"
"360290154021","Block Group 1, Census Tract 154.02, Erie County, New York",59698,17030,1381,476,0,"0"
"360290058011","Block Group 1, Census Tract 58.01, Erie County, New York",41607,13268,1554,428,40,"2574"
"360290047012","Block Group 2, Census Tract 47.01, Erie County, New York",54889,38551,1385,438,48,"3466"
"360290151013","Block Group 3, Census Tract 151.01, Erie County, New York",88438,36725,683,216,0,"0"
"360290002002","Block Group 2, Census Tract 2, Erie County, New York",23594,6753,681,288,13,"1909"
"360290083003","Block Group 3, Census Tract 83, Erie County, New York",36129,19832,689,339,0,"0"
"360290049023","Block Group 3, Census Tract 49.02, Erie County, New York",51185,15449,1088,267,23,"2114"
